0	275
1	61
2	103
3	173
4	272
5	321
6	428
7	482
8	616
9	748
10	961
11	1118
12	1405
13	1584
14	2033
15	2299
16	2597
17	2953
18	3270
19	3542
20	3844
21	4225
22	4462
23	4843
24	5065
25	5273
26	5733
27	5989
28	6398
29	6545
30	6902
31	7037
32	7221
33	7771
34	7813
35	7943
36	8223
37	8606
38	8746
39	8897
40	8903
41	9044
42	9045
43	9160
44	9319
45	9304
46	9289
47	9306
48	9129
49	8930
50	8711
51	8945
52	8385
53	8299
54	7975
55	7903
56	7714
57	7277
58	6995
59	6534
60	6072
61	5624
62	4999
63	4658
64	4260
65	3884
66	3544
67	3193
68	2951
69	2803
70	2623
71	2514
72	2264
73	2136
74	1988
75	1963
76	1793
77	1776
78	1760
79	1674
80	1606
81	1569
82	1541
83	1534
84	1470
85	1467
86	1479
87	1530
88	1504
89	1404
90	1562
91	1457
92	1480
93	1421
94	1425
95	1390
96	1392
97	1375
98	1342
99	1301
100	1358
101	1403
102	1340
103	1285
104	1328
105	1330
106	1287
107	1314
108	1290
109	1204
110	1252
111	1214
112	1188
113	1186
114	1228
115	1138
116	1105
117	1087
118	1122
119	979
120	1045
121	1026
122	963
123	984
124	914
125	894
126	862
127	873
128	859
129	839
130	801
131	762
132	752
133	723
134	705
135	651
136	683
137	685
138	612
139	619
140	535
141	578
142	569
143	518
144	534
145	495
146	537
147	492
148	456
149	460
150	430
151	417
152	418
153	402
154	422
155	381
156	379
157	347
158	338
159	330
160	345
161	310
162	305
163	285
164	325
165	285
166	282
167	292
168	284
169	250
170	285
171	245
172	246
173	230
174	230
175	202
176	188
177	221
178	221
179	203
180	221
181	205
182	194
183	190
184	199
185	194
186	194
187	180
188	183
189	191
190	200
191	187
192	177
193	206
194	199
195	174
196	175
197	182
198	171
199	174
200	175
201	149
202	166
203	161
204	177
205	163
206	164
207	176
208	138
209	147
210	172
211	143
212	161
213	173
214	171
215	140
216	160
217	154
218	177
219	134
220	145
221	127
222	165
223	177
224	200
225	172
226	157
227	188
228	177
229	159
230	134
231	156
232	166
233	147
234	173
235	140
236	132
237	146
238	148
239	169
240	170
241	185
242	159
243	142
244	133
245	160
246	146
247	175
248	149
249	135
250	158
251	141
252	160
253	167
254	150
255	198
256	166
257	176
258	170
259	148
260	186
261	144
262	179
263	158
264	162
265	168
266	141
267	160
268	149
269	164
270	152
271	180
272	157
273	150
274	178
275	153
276	153
277	157
278	164
279	141
280	165
281	147
282	163
283	168
284	148
285	148
286	156
287	134
288	154
289	158
290	124
291	147
292	163
293	154
294	159
295	141
296	153
297	112
298	155
299	124
300	135
301	153
302	172
303	149
304	137
305	123
306	143
307	146
308	151
309	155
310	148
311	168
312	146
313	126
314	140
315	148
316	137
317	142
318	123
319	141
320	151
321	159
322	120
323	125
324	93
325	115
326	148
327	132
328	125
329	150
330	142
331	114
332	125
333	117
334	100
335	105
336	116
337	118
338	138
339	107
340	97
341	114
342	113
343	121
344	104
345	110
346	94
347	94
348	90
349	101
350	115
351	93
352	86
353	100
354	83
355	93
356	95
357	72
358	103
359	72
360	83
361	69
362	80
363	70
364	84
365	74
366	81
367	88
368	98
369	90
370	66
371	69
372	64
373	69
374	57
375	61
376	62
377	54
378	55
379	60
380	60
381	61
382	59
383	52
384	54
385	47
386	44
387	55
388	38
389	54
390	54
391	37
392	35
393	36
394	32
395	31
396	36
397	33
398	39
399	43
400	37
401	36
402	23
403	36
404	26
405	28
406	27
407	31
408	33
409	19
410	21
411	25
412	25
413	19
414	22
415	20
416	26
417	18
418	20
419	19
420	27
421	21
422	17
423	21
424	8
425	14
426	14
427	15
428	16
429	15
430	8
431	11
432	14
433	10
434	10
435	17
436	11
437	12
438	7
439	8
440	12
441	7
442	17
443	12
444	5
445	8
446	12
447	14
448	9
449	11
450	7
451	12
452	7
453	4
454	13
455	4
456	5
457	3
458	5
459	5
460	5
461	5
462	6
463	2
464	4
465	2
466	5
467	7
468	4
469	5
470	5
471	4
472	2
473	7
474	1
475	7
476	9
477	4
478	2
479	7
480	1
481	1
482	7
483	4
485	3
486	3
487	2
